,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Close 2016,Close 2017,Close 2018,Close 2019,Close 2020,Close 2021
636,507938,MNPLFIN,MANIPAL FINANCE CORPORATION LTD.,Active,P,10.0,INE798E01013,Finance (including NBFCs),Equity,6.18,5.59,NA,NA,5.60,NA
637,507944,BAJAJST,BAJAJ STEEL INDUSTRIES LTD.,Active,X,5.0,INE704G01024,Industrial Machinery,Equity,134.00,216.05,319.65,241.60,286.15,298.35
638,507946,KIDUJA,KIDUJA INDIA LTD.,Active,X,10.0,INE845A01010,Comm.Trading  & Distribution,Equity,13.00,21.85,28.80,27.40,22.80,23.30
639,507948,KEYCORP,KEY CORP LTD.,Active,XT,10.0,INE130F01016,Finance (including NBFCs),Equity,15.90,21.00,14.10,9.41,14.31,14.30
640,507952,SHIKHARLETR,SHIKHAR LEASING & TRADING LTD.,Active,XT,10.0,INE02BV01019,Finance (including NBFCs),Equity,NA,NA,NA,NA,NA,NA
641,507960,GUJHOTE,GUJARAT HOTELS LTD.,Active,X,10.0,INE621C01011,Hotels,Equity,123.00,127.30,109.00,101.95,105.45,106.10
642,507962,RAJATH,Rajath Finance Limited,Active,X,10.0,INE455H01013,Finance (including NBFCs),Equity,14.65,7.23,NA,7.22,7.00,NA
643,507966,RASRESOR,RAS RESORTS & APART HOTELS LTD.,Active,X,10.0,INE651D01016,Hotels,Equity,44.40,34.65,48.75,41.65,23.50,28.35
644,507970,PARMCOS-B,PARAMOUNT COSMETICS (INDIA) LTD.,Active,X,10.0,INE143I01013,Personal Products,Equity,39.35,40.70,26.20,12.00,18.45,18.50
645,507981,JINDHOT,JINDAL HOTELS LTD.,Active,X,10.0,INE726D01016,Hotels,Equity,38.60,59.35,39.25,34.00,26.00,27.45
646,507987,JPTRLES,JUPITER INDUSTRIES & LEASING LTD.,Active,P,10.0,INE990E01016,Finance (including NBFCs),Equity,NA,4.27,NA,4.06,NA,NA
647,507998,SIMMOND,SIMMONDS MARSHALL LTD.,Active,X,2.0,INE657D01021,Auto Parts & Equipment,Equity,87.25,112.40,91.95,40.10,41.45,43.90
648,508136,BNALTD,B & A LTD.,Active,X,10.0,INE489D01011,Tea & Coffee,Equity,182.35,318.35,192.00,148.00,168.00,169.90
649,508306,LEDOTEA,LEDO TEA CO.LTD.,Active,XT,10.0,INE643B01017,Tea & Coffee,Equity,85.00,70.25,41.55,26.50,40.75,48.05
650,508486,HAWKINCOOK,HAWKINS COOKERS LTD.-$,Active,A,10.0,INE979B01015,Houseware,Equity,"2,533.85","3,160.10","2,876.90","3,645.00","5,860.50","5,932.30"
651,508494,WARRENTEA,WARREN TEA LTD.-$,Active,X,10.0,INE712A01012,Tea & Coffee,Equity,117.85,136.00,78.65,47.50,48.95,51.30
652,508571,COCHMAL,COCHIN MALABAR ESTATES & INDUSTRIES LTD.,Active,X,10.0,INE788M01017,Auto Tyres & Rubber Products,Equity,18.05,47.00,58.80,55.80,41.50,43.00
653,508664,BESTEAST,BEST EASTERN HOTELS LTD.,Active,XT,1.0,INE553F01035,Hotels,Equity,34.00,69.00,66.40,6.41,16.00,16.50
654,508670,NEAGI,NEELAMALAI AGRO INDUSTRIES LTD.,Active,P,10.0,INE605D01012,Tea & Coffee,Equity,930.00,"1,499.45","1,502.05","1,257.80","1,412.90",NA
655,508807,ISTLTD,IST LTD.,Active,X,5.0,INE684B01029,Auto Parts & Equipment,Equity,782.00,"1,182.65",602.10,380.30,415.70,411.35
656,508814,COSMOFILMS,COSMO FILMS LTD.,Active,A,10.0,INE757A01017,Containers & Packaging,Equity,332.75,368.85,219.15,232.05,457.80,449.95
657,508867,NEWMKTADV,NEW MARKETS ADVISORY LTD.,Active,XT,10.0,INE800K01014,IT Software Products,Equity,NA,NA,NA,NA,NA,NA
658,508869,APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LTD.,Active,A,5.0,INE437A01024,Healthcare Facilities,Equity,"1,179.60","1,205.25","1,258.70","1,441.55","2,411.30","2,557.25"
659,508875,NITINCAST,Nitin Castings Ltd,Active,X,5.0,INE861H01020,Misc.Commercial Services,Equity,75.00,188.00,135.00,77.00,50.85,61.00
